"DateTime","Temperature","Dew Point","Relative Humidity"
"2025-04-07 20:35:00",60.8,35.46,38.87
"2025-04-07 20:50:00",59,33.64,38.57
"2025-04-07 21:00:00",59,30.02,33.35
"2025-04-07 21:15:00",55.4,37.26,50.65
"2025-04-07 21:30:00",55.4,33.62,43.9
"2025-04-07 21:45:00",55.4,33.62,43.9
"2025-04-07 21:56:00",57.02,32.92,40.23
"2025-04-07 22:10:00",55.4,31.82,40.84
"2025-04-07 22:25:00",53.6,33.62,46.88
"2025-04-07 22:40:00",55.4,30.02,37.97
"2025-04-07 22:55:00",53.6,33.62,46.88
"2025-04-07 23:05:00",51.8,31.82,46.59
"2025-04-07 23:20:00",57.2,28.22,33.05
"2025-04-07 23:35:00",57.2,24.62,28.48
"2025-04-07 23:50:00",57.2,24.62,28.48
"2025-04-08 00:00:00",57.2,24.62,28.48
"2025-04-08 00:15:00",57.2,21.02,24.47
"2025-04-08 00:30:00",57.2,26.42,30.69
"2025-04-08 00:45:00",53.6,26.4,34.97
"2025-04-08 00:56:00",53.06,25.84,34.88
"2025-04-08 01:10:00",51.8,28.2,40.24
"2025-04-08 01:25:00",55.4,26.4,32.75
"2025-04-08 01:40:00",53.6,28.2,37.66
"2025-04-08 01:55:00",53.6,28.2,37.66
"2025-04-08 02:05:00",55.4,26.4,32.75
"2025-04-08 02:20:00",53.6,28.2,37.66
"2025-04-08 02:35:00",55.4,26.4,32.75
"2025-04-08 02:50:00",55.4,24.6,30.39
"2025-04-08 03:00:00",55.4,22.8,28.18
"2025-04-08 03:15:00",55.4,24.6,30.39
"2025-04-08 03:30:00",55.4,28.2,35.27
"2025-04-08 03:45:00",55.4,33.62,43.9
"2025-04-08 03:56:00",55.04,28.74,36.54
"2025-04-08 04:10:00",53.6,31.82,43.61
"2025-04-08 04:25:00",53.6,31.82,43.61
"2025-04-08 04:40:00",53.6,30,40.54
"2025-04-08 04:55:00",50,33.64,53.53
"2025-04-08 05:05:00",48.2,33.64,57.25
"2025-04-08 05:20:00",48.2,35.46,61.51
"2025-04-08 05:35:00",48.2,33.64,57.25
