"DateTime","Temperature","Dew Point","Relative Humidity"
"2025-03-10 21:20:00",48.2,24.58,39.63
"2025-03-10 21:35:00",46.4,30.02,52.98
"2025-03-10 21:50:00",46.4,30.02,52.98
"2025-03-10 22:00:00",46.4,33.66,61.27
"2025-03-10 22:15:00",46.4,30.02,52.98
"2025-03-10 22:30:00",44.6,33.67,65.6
"2025-03-10 22:45:00",44.6,33.67,65.6
"2025-03-10 22:56:00",48.92,29.82,47.84
"2025-03-10 23:10:00",46.4,26.4,45.7
"2025-03-10 23:25:00",46.4,26.4,45.7
"2025-03-10 23:40:00",42.8,26.4,52.42
"2025-03-10 23:55:00",42.8,30.04,60.77
"2025-03-11 00:05:00",42.8,28.22,56.46
"2025-03-11 00:20:00",42.8,28.22,56.46
"2025-03-11 00:35:00",41,28.24,60.51
"2025-03-11 00:50:00",41,28.24,60.51
"2025-03-11 01:00:00",39.2,28.26,64.9
"2025-03-11 01:15:00",39.2,30.07,69.85
"2025-03-11 01:30:00",42.8,30.04,60.77
"2025-03-11 01:45:00",42.8,26.4,52.42
"2025-03-11 01:56:00",41,27.88,59.62
"2025-03-11 02:10:00",39.2,28.26,64.9
"2025-03-11 02:25:00",37.4,26.46,64.66
"2025-03-11 02:40:00",39.2,28.26,64.9
"2025-03-11 02:55:00",37.4,26.46,64.66
"2025-03-11 03:05:00",37.4,26.46,64.66
"2025-03-11 03:20:00",37.4,26.46,64.66
"2025-03-11 03:35:00",35.6,26.47,69.43
"2025-03-11 03:50:00",33.8,26.49,74.6
"2025-03-11 04:00:00",37.4,26.46,64.66
"2025-03-11 04:15:00",37.4,26.46,64.66
"2025-03-11 04:30:00",37.4,24.62,60
"2025-03-11 04:45:00",33.8,24.67,69.22
"2025-03-11 04:56:00",35.96,24.82,63.99
"2025-03-11 05:10:00",35.6,24.64,64.42
"2025-03-11 05:25:00",33.8,24.67,69.22
"2025-03-11 05:40:00",37.4,24.62,60
"2025-03-11 05:55:00",37.4,24.62,60
"2025-03-11 06:05:00",39.2,22.8,51.85
"2025-03-11 06:20:00",37.4,24.62,60
"2025-03-11 06:35:00",35.6,24.64,64.42
"2025-03-11 06:50:00",35.6,26.47,69.43
"2025-03-11 07:00:00",37.4,24.62,60
"2025-03-11 07:15:00",35.6,22.82,59.74
"2025-03-11 07:30:00",37.4,24.62,60
"2025-03-11 07:45:00",37.4,24.62,60
"2025-03-11 07:56:00",39.02,22.8,52.21
"2025-03-11 08:10:00",39.2,22.8,51.85
"2025-03-11 08:25:00",37.4,24.62,60
"2025-03-11 08:40:00",39.2,24.62,55.91
"2025-03-11 08:55:00",41,24.6,52.13
"2025-03-11 09:05:00",41,24.6,52.13
"2025-03-11 09:20:00",42.8,22.78,45.1
"2025-03-11 09:35:00",44.6,24.58,45.4
"2025-03-11 09:50:00",46.4,24.58,42.41
"2025-03-11 10:00:00",46.4,24.58,42.41
"2025-03-11 10:15:00",48.2,24.58,39.63
"2025-03-11 10:30:00",50,24.58,37.05
"2025-03-11 10:45:00",51.8,24.58,34.67
"2025-03-11 10:56:00",50,27.84,42.38
"2025-03-11 11:10:00",50,30,46.29
"2025-03-11 11:25:00",48.2,28.2,46
"2025-03-11 11:40:00",53.6,22.78,30.09
"2025-03-11 11:55:00",55.4,19.2,24.18
"2025-03-11 12:05:00",53.6,30,40.54
"2025-03-11 12:20:00",55.4,19.2,24.18
"2025-03-11 12:35:00",57.2,21.02,24.47
"2025-03-11 12:50:00",57.2,19.22,22.66
"2025-03-11 13:00:00",57.2,19.22,22.66
"2025-03-11 13:15:00",57.2,19.22,22.66
"2025-03-11 13:30:00",57.2,19.22,22.66
